# This file contains the mean r-statistics values and standard errors for the generalized Haldane-Shastry model with arbitrary interaction range α 
 for various parameters in m=0 sector to analyse the data collapse as function of effective parameters αδ.
# Here N is the system size, hj is the magnetic field strength, δ is the position disorder strength and α is the interaction range parameter.
# Columns: N, hj, δ, αδ, mean_r_statistic, std_error
 
N, hj, δ, αδ, mean_r_statistic, std_error
16 0.1 0.3 9.0 0.39429823605930986 0.00032071917509688915
16 0.1 0.3 9.5 0.3934137781975015 0.00031452957953423795
16 0.1 0.3 10.0 0.39162781393543683 0.0002906506548186623
16 0.1 0.3 10.5 0.3898899980709188 0.0002810034944355803
16 0.1 0.3 11.0 0.38925055320848684 0.0003002013922159247
16 0.1 0.3 11.5 0.3884105516996504 0.00030919026547887997
16 0.1 0.3 12.0 0.3877410085010739 0.00033151111241508765
16 0.1 0.3 12.5 0.3866523987548106 0.000331350441268159
16 0.1 0.3 13.0 0.3866967098370497 0.0003103871818215995
16 0.1 0.3 13.5 0.38531997257481837 0.0003277258556705731
16 0.1 0.3 14.0 0.3847948858018039 0.0003571352351947342
16 0.1 0.3 14.5 0.38483261214098435 0.0003270994217459109
16 0.1 0.3 15.0 0.38438765935273433 0.0003564548164704248
16 0.1 0.5 0.5 0.5294890823624557 8.463382030945723e-5
16 0.1 0.5 1.0 0.5218470665136709 0.0004121244963277871
16 0.1 0.5 1.5 0.49277454304543933 0.000802676954258298
16 0.1 0.5 2.0 0.4691377875932163 0.0008087297829562758
16 0.1 0.5 2.5 0.45704767790661843 0.0007199804057982454
16 0.1 0.5 3.0 0.4469110469171064 0.0006683602400534618
16 0.1 0.5 3.5 0.4414139587167407 0.0006448665821683369
16 0.1 0.5 4.0 0.43452271619134436 0.0005909157803790801
16 0.1 0.5 4.5 0.42765897053227764 0.0005667194866404193
16 0.1 0.5 5.0 0.4225797839385626 0.0005459668309698731
16 0.1 0.5 5.5 0.4171272870361698 0.0005285171768982777
16 0.1 0.5 6.0 0.4136674765228605 0.0004958638346123773
16 0.1 0.5 6.5 0.4083231855641372 0.0004429350987183565
16 0.1 0.5 7.0 0.40677455494526055 0.000461991993229416
16 0.1 0.5 7.5 0.4022655797466774 0.0004079727854113778
16 0.1 0.5 8.0 0.3999086743147523 0.00037254262472102937
16 0.1 0.5 8.5 0.39721450009941195 0.0003391889639581068
16 0.1 0.5 9.0 0.3954237132924884 0.0003285157432197438
16 0.1 0.5 9.5 0.3942213415570846 0.00030435525430902823
16 0.1 0.5 10.0 0.39267917970793204 0.00030668006013913427
16 0.1 0.5 10.5 0.39170753975918643 0.00028243244579440594
16 0.1 0.5 11.0 0.38960503813036884 0.00033217174645265747
16 0.1 0.5 11.5 0.3896548690054877 0.0003300423563991519
16 0.1 0.5 12.0 0.38856566284916444 0.00030490668105497107
16 0.1 0.5 12.5 0.38695934262379833 0.0002992315654885776
16 0.1 0.5 13.0 0.38678572958141205 0.0003130796817812502
16 0.1 0.5 13.5 0.3856981471370753 0.0003322559464604978
16 0.1 0.5 14.0 0.38537444248494096 0.0003239073050261052
16 0.1 0.5 14.5 0.3848875928512644 0.0003540927957248584
16 0.1 0.5 15.0 0.3844198633259312 0.0003371113498994059
16 0.1 0.8 0.5 0.5247251626680164 0.00016343249697330675
16 0.1 0.8 1.0 0.5036725293965809 0.0007545831100422415
16 0.1 0.8 1.5 0.48244908654404145 0.0008415790848703827
16 0.1 0.8 2.0 0.4677919717234852 0.0007927780013932196
16 0.1 0.8 2.5 0.4590989116271117 0.0007520846136733793
16 0.1 0.8 3.0 0.45171107120547854 0.0006689423176087901
16 0.1 0.8 3.5 0.4465627205784383 0.0006140581486653877
16 0.1 0.8 4.0 0.44106371084786283 0.0005883950598223152
16 0.1 0.8 4.5 0.43533991231085073 0.0005719140389591336
16 0.1 0.8 5.0 0.4297542864532959 0.0005546530288382956
16 0.1 0.8 5.5 0.4229643917552417 0.0005095334359038636
16 0.1 0.8 6.0 0.41771711033255693 0.0005046185135330056
16 0.1 0.8 6.5 0.41369772211709904 0.00047852888530079213
16 0.1 0.8 7.0 0.40944441860464725 0.000456381589215286
