# This file contains the mean IPR and standard errors for the generalized Haldane-Shastry model with arbitrary interaction range α 
 for various parameters in m=0 for this disordered systems.
# Here N is the system size, hj is the magnetic field strength, δ is the position disorder strength and α is the interaction range parameter.
# Columns: N, hj, δ, α, mean_r_statistic, std_error
 
N, hj, δ, α, -log2(IPR), std_error
10 0.0 0.8 2.4 5.403512815255904 0.008584575587854477
10 0.0 0.8 2.6 5.3702060926530075 0.008497975881975175
10 0.0 0.8 2.8 5.332697362959831 0.008102550029841346
10 0.0 0.8 3.0 5.2985556244484675 0.008111276964691808
10 0.0 1.0 0.0 6.384286801382753 8.330741423111154e-17
10 0.0 1.0 0.2 5.393496855078556 0.002963444325455765
10 0.0 1.0 0.4 5.574748612619749 0.003567330404891956
10 0.0 1.0 0.6 5.693596942772731 0.005006530889054682
10 0.0 1.0 0.8 5.704238122173347 0.007015512755703542
10 0.0 1.0 1.0 5.657257656661957 0.008418254459377916
10 0.0 1.0 1.2 5.587476201402542 0.00910527476488797
10 0.0 1.0 1.4 5.509010464142423 0.00908924468014857
10 0.0 1.0 1.6 5.462531451957817 0.00910768262418852
10 0.0 1.0 1.8 5.404967988120341 0.008777226853966766
10 0.0 1.0 2.0 5.36043157211776 0.008729358512366319
10 0.0 1.0 2.2 5.314217468966142 0.008261926907997095
10 0.0 1.0 2.4 5.294761055620315 0.007896561476719171
10 0.0 1.0 2.6 5.261811156840399 0.007637162416224092
10 0.0 1.0 2.8 5.223237697645831 0.006888055194867331
10 0.0 1.0 3.0 5.208879364678449 0.00694157800431544
10 0.1 0.0 0.0 4.369173594666293 0.006568855610910235
10 0.1 0.0 0.2 5.398710658705983 0.0009301637048832533
10 0.1 0.0 0.4 5.486655688784535 0.0007159723491883417
10 0.1 0.0 0.6 5.927025436413483 0.0021712244962885487
10 0.1 0.0 0.8 6.268799296262193 0.001580243821406908
10 0.1 0.0 1.0 6.299900359741447 0.0014490672078157393
10 0.1 0.0 1.2 6.235714551615242 0.0015330864899713841
10 0.1 0.0 1.4 6.230221720376905 0.0013351606746553782
10 0.1 0.0 1.6 6.138906656092562 0.0016029471314045038
10 0.1 0.0 1.8 6.11469329021107 0.001825886404239664
10 0.1 0.0 2.0 6.050240004598288 0.0024229959026018312
10 0.1 0.0 2.2 6.233816017153879 0.0015617438137730518
10 0.1 0.0 2.4 6.262478164156983 0.0014750478942701217
10 0.1 0.0 2.6 6.26990568324025 0.0012927724345413978
10 0.1 0.0 2.8 6.275185467653241 0.001165539330270941
10 0.1 0.0 3.0 6.265334721908425 0.0013502260855704446
10 0.1 0.1 0.0 4.3547005709873945 0.006498200583617426
10 0.1 0.1 0.2 5.397854467388374 0.000907327622020629
10 0.1 0.1 0.4 5.478659993174336 0.0009880993892755641
10 0.1 0.1 0.6 5.963393883555238 0.002252232398515719
10 0.1 0.1 0.8 6.287618683424644 0.0015370929097455568
10 0.1 0.1 1.0 6.310024836999888 0.0013544469490129806
10 0.1 0.1 1.2 6.249648846711648 0.0013640841496818557
10 0.1 0.1 1.4 6.255681691967307 0.0011445908590221132
10 0.1 0.1 1.6 6.21613925950011 0.0013883759625928228
10 0.1 0.1 1.8 6.187183505983287 0.001501574536987155
