# This file contains the mean and standard deviation of the squared overlap <ψ_alpha=2|φ_alpha>²> of the ground state wavefunction of the spin-1 generalized Haldane-Shastry model with arbitrary interaction range α with the the ground state of alpha=2 Haldane-Shastry model.
# Here N is the system size, δ is the position disorder strength and α is the interaction range parameter.
# Columns: N, α, δ, mean of squared overlap <ψ_alpha=2|φ_alpha>²>, standard deviation of squared overlap
 
N, α, δ, mean, std_deviation
 
16 0.0 0.0 0.00010461381479949198 0.0
16 0.1 0.0 0.942024802520746 0.0
16 0.2 0.0 0.94900888819277 0.0
16 0.3 0.0 0.9554564688548693 0.0
16 0.4 0.0 0.9613839633566077 0.0
16 0.5 0.0 0.9668077096042788 0.0
16 0.6 0.0 0.9717441694971167 0.0
16 0.7 0.0 0.9762100985309943 0.0
16 0.8 0.0 0.9802226799036701 0.0
16 0.9 0.0 0.9837996225840483 0.0
16 1.0 0.0 0.9869592229116035 0.0
16 1.1 0.0 0.989720389798245 0.0
16 1.2 0.0 0.9921026344210939 0.0
16 1.3 0.0 0.9941260263102336 0.0
16 1.4 0.0 0.9958111188273585 0.0
16 1.5 0.0 0.9971788480764432 0.0
16 1.6 0.0 0.9982504101748687 0.0
16 1.7 0.0 0.9990471224556517 0.0
16 1.8 0.0 0.9995902745131781 0.0
16 1.9 0.0 0.9999009750255914 0.0
16 2.0 0.0 0.9999999999999967 0.0
16 2.1 0.0 0.999907647533349 0.0
16 2.2 0.0 0.9996436034232733 0.0
16 2.3 0.0 0.9992268210708272 0.0
16 2.4 0.0 0.9986754181645228 0.0
16 2.5 0.0 0.9980065916887864 0.0
16 2.6 0.0 0.9972365519162457 0.0
16 2.7 0.0 0.9963804752634582 0.0
16 2.8 0.0 0.9954524752397724 0.0
16 2.9 0.0 0.9944655902119508 0.0
16 3.0 0.0 0.9934317863421713 0.0
16 Inf 0.0 0.9598320045293461 0.0
14 0.0 0.0 0.00021180946866576836 0.0
14 0.1 0.0 0.948799934886648 0.0
14 0.2 0.0 0.9549890321265824 0.0
14 0.3 0.0 0.9607023965239501 0.0
14 0.4 0.0 0.9659537728493319 0.0
14 0.5 0.0 0.9707570007192785 0.0
14 0.6 0.0 0.9751262255580911 0.0
14 0.7 0.0 0.9790760627341336 0.0
14 0.8 0.0 0.9826217157937103 0.0
14 0.9 0.0 0.9857790500090083 0.0
14 1.0 0.0 0.9885646230815734 0.0
14 1.1 0.0 0.9909956756828102 0.0
14 1.2 0.0 0.9930900854473064 0.0
14 1.3 0.0 0.9948662889452128 0.0
14 1.4 0.0 0.9963431769420056 0.0
14 1.5 0.0 0.997539968825036 0.0
14 1.6 0.0 0.9984760723814676 0.0
14 1.7 0.0 0.9991709351292454 0.0
14 1.8 0.0 0.9996438931378249 0.0
14 1.9 0.0 0.9999140227618935 0.0
14 2.0 0.0 1.0000000000000009 0.0
14 2.1 0.0 0.999919971343894 0.0
14 2.2 0.0 0.9996914390683203 0.0
14 2.3 0.0 0.9993311629869698 0.0
14 2.4 0.0 0.9988550798209732 0.0
14 2.5 0.0 0.9982782405329906 0.0
14 2.6 0.0 0.997614765300249 0.0
14 2.7 0.0 0.9968778152493968 0.0
14 2.8 0.0 0.9960795796581692 0.0
