# This file contains the unique energy values and their degeneracies for the Haldane-Shastry model with system size N=36.
# Columns: energy, degeneracy
 
energy, degeneracy
-34380.0 10352
-34356.0 11948
-34332.0 11060
-34308.0 11680
-34284.0 10152
-34260.0 11924
-34236.0 14728
-34212.0 13180
-34188.0 12816
-34164.0 12640
-34140.0 11960
-34116.0 12528
-34092.0 12224
-34068.0 13592
-34044.0 13128
-34020.0 14592
-33996.0 16416
-33972.0 14568
-33948.0 13624
-33924.0 12564
-33900.0 12560
-33876.0 15952
-33852.0 16200
-33828.0 16676
-33804.0 13684
-33780.0 16276
-33756.0 15456
-33732.0 17312
-33708.0 20888
-33684.0 13584
-33660.0 13144
-33636.0 20729
-33612.0 16192
-33588.0 16200
-33564.0 21894
-33540.0 16776
-33516.0 18968
-33492.0 19977
-33468.0 17536
-33444.0 16536
-33420.0 20632
-33396.0 21600
-33372.0 20190
-33348.0 20956
-33324.0 19464
-33300.0 18968
-33276.0 21944
-33252.0 19988
-33228.0 21830
-33204.0 25448
-33180.0 22176
-33156.0 19736
-33132.0 22224
-33108.0 23172
-33084.0 25080
-33060.0 26620
-33036.0 23678
-33012.0 21128
-32988.0 27176
-32964.0 22309
-32940.0 25984
-32916.0 29932
-32892.0 25088
-32868.0 29312
-32844.0 25492
-32820.0 22432
-32796.0 26506
-32772.0 30924
-32748.0 27568
-32724.0 31812
-32700.0 31816
-32676.0 28460
-32652.0 26254
-32628.0 32788
-32604.0 29424
-32580.0 28572
-32556.0 35816
-32532.0 32132
-32508.0 28008
-32484.0 32993
-32460.0 35192
-32436.0 29488
-32412.0 36992
-32388.0 36848
-32364.0 31480
-32340.0 37641
-32316.0 36136
-32292.0 36744
-32268.0 38904
-32244.0 36184
-32220.0 35118
-32196.0 39672
-32172.0 35328
-32148.0 38784
-32124.0 45624
-32100.0 39752
-32076.0 41488
-32052.0 39832
-32028.0 39984
-32004.0 41028
-31980.0 48104
-31956.0 43297
-31932.0 43016
-31908.0 42344
-31884.0 40958
-31860.0 48776
-31836.0 52166
-31812.0 44084
-31788.0 47096
-31764.0 49060
-31740.0 44848
-31716.0 50217
-31692.0 49694
-31668.0 53092
-31644.0 51596
-31620.0 53528
-31596.0 51376
-31572.0 48888
-31548.0 56672
-31524.0 49556
-31500.0 53206
-31476.0 62160
-31452.0 59686
-31428.0 56104
-31404.0 51944
-31380.0 54788
-31356.0 60680
