# This file contains the mean r-statistics values and standard errors for the spin 1 generalized Haldane-Shastry model with arbitrary interaction range α 
 for various parameters in (m,k)=(0,1) for clean systems and m=0 for disordered systems.
# Here N is the system size, hj is the magnetic field strength, δ is the position disorder strength and α is the interaction range parameter.
# Columns: N, hj, δ, α, mean_r_statistic, std_error
 
N, hj, δ, α, mean_r_statistic, std_error
10 0.1 0.1 2.6 0.5277107726142617 0.0001069713274866805
10 0.1 0.1 2.8 0.5277885830874478 0.00011535531710056573
10 0.1 0.1 3.0 0.5282139539584727 0.00010764579056650709
10 0.1 0.3 0.0 0.38624399607635646 0.0001320536180196218
10 0.1 0.3 0.2 0.513333001029296 0.0001128502718200565
10 0.1 0.3 0.4 0.5015045785655615 0.0001440651312612403
10 0.1 0.3 0.6 0.5114703849270603 0.00017375317880346313
10 0.1 0.3 0.8 0.520323161548921 0.00014701573529868708
10 0.1 0.3 1.0 0.5248526193173171 0.00012444078680273724
10 0.1 0.3 1.2 0.5267046421687052 0.00011960830244557168
10 0.1 0.3 1.4 0.5273732993815116 0.00010960666569577438
10 0.1 0.3 1.6 0.5276367813792446 0.00011214910436135898
10 0.1 0.3 1.8 0.5277559975755783 0.00011517214661278353
10 0.1 0.3 2.0 0.5277956514379286 0.00011158442571988347
10 0.1 0.3 2.2 0.5274855510643357 0.00012174531096694041
10 0.1 0.3 2.4 0.5275231622833142 0.00012087349341100802
10 0.1 0.3 2.6 0.5277238252893518 0.00011284818273822259
10 0.1 0.3 2.8 0.5274566924770381 0.00012520046157906147
10 0.1 0.3 3.0 0.527463794322958 0.00012878339443714393
10 0.1 0.5 0.0 0.3861209568867128 0.000144953575380692
10 0.1 0.5 0.2 0.5131387470391536 0.00011146076386502362
10 0.1 0.5 0.4 0.5015410691136933 0.00016401265666557532
10 0.1 0.5 0.6 0.5124781786174533 0.00018394011065340018
10 0.1 0.5 0.8 0.5209848044309702 0.00015726191715804264
10 0.1 0.5 1.0 0.5249454559239124 0.00012784899794786246
10 0.1 0.5 1.2 0.525965215453557 0.00013323415660942476
10 0.1 0.5 1.4 0.5258518766682104 0.00017035873078470736
10 0.1 0.5 1.6 0.5241110602588157 0.0002686555374858576
10 0.1 0.5 1.8 0.5221568737984724 0.000333471972457103
10 0.1 0.5 2.0 0.5189347658416398 0.0004638768736247363
10 0.1 0.5 2.2 0.5162355643600819 0.0005338712480919258
10 0.1 0.5 2.4 0.5122569379586567 0.0005975186691438394
10 0.1 0.5 2.6 0.5093169947903144 0.0006916334579829751
10 0.1 0.5 2.8 0.5055282545070561 0.0007466415532265433
10 0.1 0.5 3.0 0.50338808567111 0.0007688645646384255
10 0.1 0.8 0.0 0.3860143148981494 0.0001421802403640324
10 0.1 0.8 0.2 0.5065325074563085 0.0003097907088564671
10 0.1 0.8 0.4 0.49845946360569376 0.00028260434088487273
10 0.1 0.8 0.6 0.5081860160611575 0.00041886744782420725
10 0.1 0.8 0.8 0.5077026801764131 0.0006954408293832417
10 0.1 0.8 1.0 0.5042659058250827 0.0008238781042718215
10 0.1 0.8 1.2 0.49865533304486537 0.0008966918602196519
10 0.1 0.8 1.4 0.49175746687263966 0.0009198848172685331
10 0.1 0.8 1.6 0.48950231675928485 0.0009446099064575201
10 0.1 0.8 1.8 0.485717249651161 0.0009586334076501235
10 0.1 0.8 2.0 0.48204697928553863 0.0010120779752377633
10 0.1 0.8 2.2 0.4803915473538806 0.0009598947887685279
10 0.1 0.8 2.4 0.4771313933226017 0.0009427043500550549
10 0.1 0.8 2.6 0.4753801691920174 0.0009499675119249569
10 0.1 0.8 2.8 0.4726027636902703 0.0009601453635473479
10 0.1 0.8 3.0 0.4690104612439679 0.0009481362835343968
10 0.1 1.0 0.0 0.3863062012044403 0.00012932626395441247
10 0.1 1.0 0.2 0.4918127204353271 0.0006499521696615859
10 0.1 1.0 0.4 0.48854705640611196 0.000551465003078959
10 0.1 1.0 0.6 0.4908865935215074 0.0008707616197261559
10 0.1 1.0 0.8 0.4894223117100864 0.0009801042071212593
10 0.1 1.0 1.0 0.48313886704844305 0.0010368048807773043
10 0.1 1.0 1.2 0.48064148464344647 0.0010359759703425688
10 0.1 1.0 1.4 0.4773486708052852 0.0010204836876494283
10 0.1 1.0 1.6 0.47480501407375686 0.0010170916606521857
10 0.1 1.0 1.8 0.47191427558244436 0.001008839876471694
10 0.1 1.0 2.0 0.4684213095470038 0.0009679185459203759
10 0.1 1.0 2.2 0.4664258204399193 0.0009631323578222346
10 0.1 1.0 2.4 0.4650834281484887 0.0009705287247375077
10 0.1 1.0 2.6 0.4637325173429312 0.0009576580819567736
10 0.1 1.0 2.8 0.46241922158937904 0.0009200850295759928
10 0.1 1.0 3.0 0.46167234582174366 0.0009197634294655089
10 0.3 0.0 0.0 0.38577587997761953 0.0001917564392936779
10 0.3 0.0 0.2 0.502255085661054 0.0004953439763920624
10 0.3 0.0 0.4 0.49011957467353695 0.0005248105390160344
10 0.3 0.0 0.6 0.500672045107257 0.0003565904100251507
10 0.3 0.0 0.8 0.512770134260313 0.00024052687339054356
10 0.3 0.0 1.0 0.5189611794062013 0.0001654837898592613
10 0.3 0.0 1.2 0.523796211636502 0.0001338083427377141
10 0.3 0.0 1.4 0.5265729601044766 0.00012154959166871473
10 0.3 0.0 1.6 0.527130089446337 0.00010900899972762462
10 0.3 0.0 1.8 0.5283691150956111 0.00010834298413396518
10 0.3 0.0 2.0 0.5280739913394151 0.00010708141707408039
10 0.3 0.0 2.2 0.5290903357723657 0.00010712885631287107
10 0.3 0.0 2.4 0.5289903878068136 0.0001070530689176514
10 0.3 0.0 2.6 0.529228729190141 0.00010398385802523263
10 0.3 0.0 2.8 0.5294879456932087 9.626465163730871e-5
10 0.3 0.0 3.0 0.5294296781775866 0.00010304721202896317
10 0.3 0.1 0.0 0.38592865665799664 0.0001261308485299
10 0.3 0.1 0.2 0.5149607487446596 0.00018381020319782767
10 0.3 0.1 0.4 0.5078284010576553 0.0001826422605475253
10 0.3 0.1 0.6 0.5172390821120815 0.0001398716578304531
10 0.3 0.1 0.8 0.5240068028284584 0.00010682180474891808
10 0.3 0.1 1.0 0.526602300134293 0.00010124630895135484
10 0.3 0.1 1.2 0.527990651307048 0.00010209923614975051
10 0.3 0.1 1.4 0.5289687498602461 0.00010024073005444858
10 0.3 0.1 1.6 0.5294936927237754 9.907022089450734e-5
10 0.3 0.1 1.8 0.5294312511714533 0.00010116689877010067
10 0.3 0.1 2.0 0.5295318750149438 0.00010075675316761777
10 0.3 0.1 2.2 0.5298956224412468 0.00010321446278212853
10 0.3 0.1 2.4 0.5298763367939703 0.00010306789119222339
10 0.3 0.1 2.6 0.5298531706136624 0.00010442201540025641
10 0.3 0.1 2.8 0.5299712214215462 0.00010155528133551803
10 0.3 0.1 3.0 0.5299479993150039 0.0001018754247289877
10 0.3 0.3 0.0 0.38613242551293636 0.00012122563944157242
10 0.3 0.3 0.2 0.5211413331854462 0.00013283064159468953
10 0.3 0.3 0.4 0.5138352183464117 0.000153428017846871
10 0.3 0.3 0.6 0.5209475644063324 0.00012313498731799145
10 0.3 0.3 0.8 0.5269077815729701 0.00010726407851102114
10 0.3 0.3 1.0 0.5286370264371698 0.00010557550295253818
10 0.3 0.3 1.2 0.5296405576225511 0.00010390393214912533
10 0.3 0.3 1.4 0.5299547518994563 0.0001024790985191184
10 0.3 0.3 1.6 0.5299363761830032 0.00010211392293440261
10 0.3 0.3 1.8 0.529942279798166 0.00010184791693829985
10 0.3 0.3 2.0 0.5301516928680554 0.00010404796076318814
10 0.3 0.3 2.2 0.5298048749462976 0.00010335176109192004
10 0.3 0.3 2.4 0.5300635760254353 0.00010155082741358521
10 0.3 0.3 2.6 0.5300817435003388 0.00010520177990588606
10 0.3 0.3 2.8 0.5298521115326015 0.00010186664087834524
10 0.3 0.3 3.0 0.529959926610162 0.00010131623756255755
10 0.3 0.5 0.0 0.38626915348070556 0.00013594807647522475
10 0.3 0.5 0.2 0.5210531388287291 0.00013413898518397488
10 0.3 0.5 0.4 0.5136732741100762 0.000139938977246948
10 0.3 0.5 0.6 0.5216525958072773 0.00012956030366285064
10 0.3 0.5 0.8 0.527299494729039 0.00011190601717573683
10 0.3 0.5 1.0 0.5291752858571834 0.00010873816679200383
10 0.3 0.5 1.2 0.5295427619417872 0.00010448104207291403
10 0.3 0.5 1.4 0.5294357861482736 0.0001212522501238374
